Protein systematic name	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)
YJL041W	34	76	-0.21888	0.04072	34	79	-0.28611	0.04187	34	75	-0.31173	0.03182	32	83	-0.35834	0.06008	30	69	-0.36623	0.05974
YDL149W	0	0	0	0	0	0	0	0	1	1	-3.13439	0	1	1	-2.69714	0	0	0	0	0
YNL069C	5	7	-0.64954	0.52224	4	7	-0.99423	0.36485	3	6	-1.20939	0.05645	4	8	-1.38039	0.23205	3	9	-1.83712	0.18629
YOL121C	2	3	-0.38715	0.0334	3	4	-0.76127	0.03512	2	3	-1.17381	0.0057	1	3	-1.49062	0	0	0	0	0
YML031W	4	7	-0.33953	0.02026	4	6	-0.67994	0.08152	1	2	-1.02446	0	2	3	-1.30276	0.00615	2	4	-1.59231	0.08072
YOR310C	2	2	-0.46009	0.02231	4	5	-0.85896	0.07134	2	3	-1.26508	0.10831	3	6	-1.41993	0.11381	3	4	-1.65122	0.19007
YGR231C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-2.16804	0	0	0	0	0
YOR317W	3	3	-0.20252	0.05758	2	2	-0.52008	0.041	1	1	-0.88676	0	3	3	-1.51991	0.16389	2	2	-1.64902	0.04514
YPR108W	0	0	0	0	1	1	-0.36388	0	0	0	0	0	2	3	-0.98712	0.03859	0	0	0	0
YNL189W	7	20	-0.34463	0.0295	7	22	-0.71318	0.01754	7	16	-1.15704	0.04501	5	8	-1.50913	0.057	6	10	-1.68571	0.15389
YGL026C	3	3	-0.31866	0.07512	3	4	-0.71874	0.10063	2	2	-1.06554	0.04619	3	3	-1.61358	0.11518	5	5	-1.54495	0.13716
