Protein systematic name	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)	Number of unique peptides	Total MS/MS counts	Average ln(H/(H+L))	Standard deviation ln(H/H+L)
YNL209W	18	32	-0.45967	0.03023	17	40	-0.79986	0.03378	14	32	-1.14765	0.1157	20	36	-1.43013	0.18698	16	25	-1.56445	0.21763
YMR217W	1	1	-0.46017	0	1	1	-0.83036	0	0	0	0	0	2	2	-1.28374	0.09478	0	0	0	0
YGR061C	0	0	0	0	2	2	-0.66655	0.02465	0	0	0	0	2	2	-1.34374	0.11992	1	1	-1.78819	0
YDR381W	0	0	0	0	0	0	0	0	1	1	-1.24275	0	1	1	-1.28583	0	0	0	0	0
YGR086C	2	4	-0.38856	0.08082	2	3	-0.79785	0.00235	1	1	-1.39784	0	1	1	-1.94292	0	1	1	-1.82773	0
YBL099W	1	1	-0.40119	0	1	1	-0.6691	0	0	0	0	0	2	3	-1.49228	0.10542	0	0	0	0
YER102W	4	8	-0.41848	0.0305	5	8	-0.78347	0.01794	4	7	-1.21168	0.05861	5	7	-1.50857	0.04657	3	4	-1.71824	0.0862
YCR012W	15	22	-0.22111	0.02168	16	27	-0.62296	0.02253	15	28	-1.08776	0.02539	19	35	-1.61699	0.11911	20	36	-1.79597	0.11298
YIL052C	1	1	-0.4031	0	1	1	-0.78795	0	1	1	-1.13549	0	1	1	-1.40956	0	1	1	-1.55309	0
YMR142C	1	1	-0.47287	0	2	2	-0.82481	0.02821	1	1	-1.1623	0	3	6	-1.3201	0.32692	2	4	-1.41415	0.19984
YML024W	6	9	-0.41935	0.05562	7	13	-0.7824	0.04044	6	10	-1.12922	0.03816	6	9	-1.47406	0.03089	7	13	-1.6241	0.10406
YCL030C	1	1	-0.29235	0	1	1	-0.56908	0	1	1	-1.07028	0	2	2	-1.84345	0.17669	3	3	-1.79009	0.29939
YIL075C	0	0	0	0	1	1	-0.53962	0	0	0	0	0	2	3	-0.69089	0.47198	1	1	-1.13731	0
YPL169C	13	34	-0.36578	0.02361	13	38	-0.70139	0.03797	13	28	-1.10435	0.02595	11	27	-1.44666	0.04676	10	24	-1.7307	0.04901
YFL039C	4	4	-0.36503	0.05322	8	13	-0.6858	0.04962	5	6	-1.07136	0.08478	3	3	-1.52648	0.10821	5	6	-1.71561	0.18437
YLL050C	0	0	0	0	2	2	-0.80937	0.22197	2	2	-1.27864	0.06328	1	1	-1.59773	0	0	0	0	0
YJR123W	3	8	-0.42242	0.00435	2	10	-0.79015	0.0117	2	6	-1.18689	0.05348	3	9	-1.57004	0.10159	3	6	-1.64801	0.06907
YGR204W	0	0	0	0	1	1	-0.51901	0	0	0	0	0	0	0	0	0	0	0	0	0
YER165W	4	4	-0.56354	0.09061	7	10	-0.81512	0.06905	4	5	-1.16857	0.15012	9	10	-1.2537	0.40139	4	4	-1.68381	0.19295
YIL002W-A	0	0	0	0	1	1	-0.28712	0	0	0	0	0	1	1	-0.32801	0	0	0	0	0
YOR234C	0	0	0	0	1	2	-0.91926	0	1	2	-1.41927	0	0	0	0	0	1	1	-1.59269	0
YPL028W	0	0	0	0	1	1	-0.6919	0	0	0	0	0	0	0	0	0	1	1	-2.87297	0
YJL034W	1	1	-0.16409	0	3	4	-0.54533	0.09361	2	2	-1.19075	0.13482	7	8	-1.63936	0.21324	5	5	-1.57836	0.57127
YDL145C	0	0	0	0	1	1	-0.77073	0	0	0	0	0	0	0	0	0	1	1	-1.8965	0
YKL186C	2	2	-0.2296	0.00918	2	2	-0.56254	0.00185	3	4	-0.95435	0.05395	1	1	-1.54556	0	1	1	-1.86692	0
YJR022W	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-2.78348	0	0	0	0	0
YPL090C	8	19	-0.39176	0.02876	8	17	-0.77964	0.0085	7	19	-1.16494	0.05284	8	18	-1.52616	0.10912	5	12	-1.55137	0.45889
YGR119C	12	27	-0.16594	0.01675	12	24	-0.23555	0.01944	11	21	-0.26435	0.01565	9	19	-0.29857	0.01037	12	24	-0.29741	0.02368
YER036C	0	0	0	0	1	2	-0.96792	0	1	1	-1.10373	0	2	2	-1.55519	0.14472	0	0	0	0
YFR053C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-2.03926	0	0	0	0	0
YGL253W	3	4	-0.25093	0.00624	4	6	-0.73356	0.10756	3	7	-1.1312	0.0647	5	9	-1.56035	0.09725	5	6	-1.72966	0.20949
YNL007C	1	1	-0.4372	0	2	4	-0.68861	0.05825	3	4	-1.19605	0.10926	3	3	-1.45165	0.43398	2	2	-1.62477	0.05227
YLR216C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.4688	0	1	1	-1.9227	0
YGL120C	1	1	-0.57044	0	1	1	-0.72573	0	0	0	0	0	2	2	-1.43971	0.02494	1	1	-1.29148	0
YGL245W	2	2	-0.32762	0.05648	5	5	-0.67264	0.11928	2	2	-1.12722	0.03744	3	3	-1.51513	0.02158	2	2	-1.73916	0.02771
YBL030C	1	1	-0.45718	0	1	1	-0.79339	0	2	2	-1.26858	0.07255	1	1	-1.78901	0	2	2	-1.81109	0.10858
YPL235W	0	0	0	0	1	1	-0.93779	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR343W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-3.40377	0
YHR010W	2	3	-0.39506	0.03381	3	5	-0.78326	0.01036	3	4	-1.15322	0.02119	3	4	-1.46353	0.02872	5	8	-1.70284	0.17194
YGL062W	0	0	0	0	0	0	0	0	1	1	-1.01018	0	0	0	0	0	0	0	0	0
YIL149C	13	14	-0.3003	0.04694	11	13	-0.48218	0.07638	6	7	-0.58547	0.07025	10	15	-0.68244	0.06137	16	21	-0.79715	0.10496
YPL243W	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.298	0	0	0	0	0
YLR175W	1	1	-0.55567	0	2	2	-0.90694	0.03106	0	0	0	0	1	1	-1.29777	0	3	3	-1.65486	0.18179
YML028W	1	2	-0.17105	0	1	2	-0.41983	0	1	2	-0.79806	0	3	4	-1.65216	0.12114	2	3	-1.72956	0.0955
YGL103W	5	9	-0.39221	0.02245	7	10	-0.78552	0.01363	4	7	-1.17672	0.01146	4	8	-1.48032	0.1078	6	12	-1.72091	0.15294
YDL185W	2	2	-1.19282	0.82089	5	7	-0.87924	0.49986	2	3	-1.08217	0.04553	4	6	-1.43945	0.23146	2	4	-1.71784	0.05761
YDR258C	0	0	0	0	0	0	0	0	0	0	0	0	1	2	-1.46922	0	0	0	0	0
YDL014W	0	0	0	0	2	2	-0.71606	0.01452	0	0	0	0	1	1	-1.39289	0	3	5	-1.68855	0.06175
YGL048C	1	1	-0.15433	0	1	1	-0.41235	0	0	0	0	0	1	2	-1.16337	0	1	1	-1.39412	0
YMR153W	13	25	-0.24249	0.02543	11	22	-0.33267	0.03468	8	12	-0.37077	0.03296	11	21	-0.49202	0.07266	8	15	-0.56008	0.07813
YBL079W	35	61	-0.26845	0.02745	37	63	-0.31887	0.03297	18	31	-0.34212	0.0484	27	49	-0.377	0.03748	24	36	-0.38142	0.03301
YNR016C	13	15	-0.39925	0.0486	11	14	-0.77219	0.04141	7	10	-1.23044	0.115	7	8	-1.58835	0.16733	5	5	-1.60426	0.39436
YBR196C	2	2	-0.29478	0.01251	5	10	-0.66423	0.04345	4	8	-0.96683	0.14519	6	11	-1.62942	0.09371	4	8	-1.66349	0.21616
YGL172W	7	12	-0.18024	0.01857	8	14	-0.24709	0.02485	7	12	-0.27305	0.01644	9	18	-0.31106	0.01043	9	18	-0.31371	0.02272
YBR121C	2	2	-0.4	0.05865	1	2	-0.76539	0	0	0	0	0	2	2	-1.48857	0.05244	0	0	0	0
YML026C	3	7	-0.40448	0.01198	3	10	-0.77044	0.07844	3	9	-1.09544	0.17677	4	12	-1.32718	0.2969	3	7	-1.61408	0.02609
YGR175C	0	0	0	0	1	1	-2.09808	0	2	2	-2.1828	0.19925	1	1	-3.73812	0	1	1	-1.75225	0
YOR182C	2	3	-0.37558	0.03945	1	1	-0.8634	0	2	3	-1.24245	0.10064	2	3	-1.68516	0.1371	1	1	-1.96966	0
YMR308C	6	9	-0.46369	0.15102	7	8	-0.69482	0.04766	3	3	-1.11403	0.08438	2	2	-1.48903	0.10723	6	6	-1.66842	0.05632
YPL126W	0	0	0	0	0	0	0	0	1	1	-3.82006	0	1	1	-0.90488	0	0	0	0	0
YER009W	2	8	-0.36344	0.00565	2	7	-0.69131	0.02022	2	4	-1.11214	0.02154	2	4	-1.39624	0.0337	2	3	-1.631	0.04852
YJR070C	1	1	-0.52178	0	1	2	-0.79277	0	0	0	0	0	1	1	-1.41468	0	0	0	0	0
YER043C	7	10	-0.4068	0.02942	6	14	-0.78909	0.02766	5	6	-1.17562	0.03394	8	11	-1.53538	0.08253	7	11	-1.66789	0.02856
YCR031C	5	7	-0.41133	0.0348	5	9	-0.80658	0.07875	6	7	-1.14752	0.18067	5	5	-1.48636	0.14692	2	2	-1.61755	0.00227
YGL238W	7	10	-0.37434	0.01765	8	13	-0.6964	0.01659	5	5	-1.06336	0.05502	4	5	-1.35413	0.21396	3	5	-1.76079	0.16553
YPR069C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-1.05473	0.6554
YLR304C	1	1	-0.20597	0	2	2	-0.67496	0.02022	1	1	-1.44482	0	3	3	-1.64532	0.1099	2	2	-1.96738	0.10534
YOL077C	0	0	0	0	0	0	0	0	1	1	-0.85176	0	1	1	-0.64937	0	1	1	-0.88402	0
YOR312C	6	7	-0.40562	0.04056	5	10	-0.80754	0.05257	2	3	-1.25242	0.07425	7	11	-1.41945	0.18381	3	4	-1.57364	0.05616
YML103C	30	53	-0.23062	0.02111	33	57	-0.29767	0.02882	25	39	-0.31169	0.03283	29	49	-0.34194	0.02387	30	47	-0.34971	0.03687
YOR098C	29	55	-0.45481	0.0301	29	57	-0.78985	0.13036	24	47	-1.13783	0.21476	23	44	-1.44818	0.18216	21	25	-1.67305	0.17014
YML126C	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-1.26352	0.24365	0	0	0	0
YHR208W	0	0	0	0	0	0	0	0	1	1	-1.22983	0	1	1	-1.57822	0	2	2	-1.16792	0.2518
YPR080W	14	27	-0.38767	0.0316	14	33	-0.74242	0.05082	12	22	-1.16213	0.05438	14	32	-1.51057	0.06379	14	26	-1.63257	0.12302
YAL035W	0	0	0	0	1	1	-0.76519	0	0	0	0	0	1	1	-1.31972	0	0	0	0	0
YNL112W	4	5	-0.81938	0.09993	2	4	-0.96151	0.09398	1	1	-1.02109	0	1	1	-0.87117	0	3	3	-1.35742	0.29185
YJL130C	8	9	-0.4989	0.08688	7	9	-0.83547	0.08452	2	2	-1.07132	0.10201	2	2	-1.5347	0.03714	3	3	-1.64552	0.17159
YPL061W	6	8	-0.53312	0.03872	6	12	-0.78989	0.0414	6	8	-1.1736	0.16351	7	8	-1.44437	0.22777	7	8	-1.53091	0.23918
YML063W	9	15	-0.39542	0.03856	9	19	-0.77682	0.04463	7	15	-1.16649	0.04131	6	11	-1.47432	0.04539	7	13	-1.61769	0.10908
YJL189W	1	1	-0.36889	0	1	2	-0.72894	0	1	1	-1.16296	0	0	0	0	0	1	1	-1.50649	0
YDR502C	1	2	-0.23031	0	1	2	-0.60701	0	1	2	-1.09364	0	1	1	-1.53157	0	1	3	-1.51776	0
YDR324C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.11955	0	0	0	0	0
YOR230W	1	1	-0.23081	0	1	1	-0.49703	0	1	1	-1.00951	0	2	3	-1.6436	0.05415	0	0	0	0
YIL053W	3	5	-0.43193	0.14029	3	6	-0.7417	0.0299	4	6	-1.12814	0.05936	6	9	-1.61733	0.13258	2	3	-1.71795	0.11272
YLR354C	2	2	-0.36392	0.04042	0	0	0	0	1	2	-1.23965	0	3	3	-1.81814	0.38449	0	0	0	0
YGL078C	0	0	0	0	1	1	-0.89693	0	1	1	-1.27393	0	0	0	0	0	0	0	0	0
YOL120C	1	1	-0.4355	0	1	3	-0.78801	0	0	0	0	0	0	0	0	0	1	3	-1.53888	0
YLR441C	4	7	-0.40776	0.02119	3	5	-0.80498	0.01151	3	7	-1.2619	0.05052	3	6	-1.52963	0.03269	2	3	-1.65433	0.03853
YKL006W	1	1	-0.42015	0	1	2	-0.83345	0	1	1	-0.93001	0	1	1	-1.40905	0	1	1	-1.9537	0
YLR333C	2	2	-0.40932	0.02213	4	10	-0.77688	0.08453	4	9	-1.18401	0.13445	4	7	-1.49857	0.08201	2	7	-1.59851	0.08482
YPL218W	1	1	-0.24892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YKL180W	5	13	-0.40077	0.01565	5	15	-0.79163	0.05415	4	11	-1.25622	0.10472	4	13	-1.51936	0.05044	4	16	-1.64916	0.16457
YPR145W	1	1	-0.2766	0	0	0	0	0	0	0	0	0	1	1	-0.82671	0	0	0	0	0
YMR186W	7	10	-0.24565	0.02674	10	17	-0.66502	0.03593	10	14	-1.05804	0.19688	13	19	-1.53626	0.12931	13	15	-1.50499	0.3428
YMR189W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-0.99198	0.6747
YOR063W	13	24	-0.38316	0.02856	14	40	-0.75641	0.06125	14	44	-1.14503	0.06012	16	38	-1.44957	0.06468	15	38	-1.64991	0.08272
YLR367W	3	5	-0.41559	0.0159	3	7	-0.77017	0.03337	2	4	-1.17746	0.05233	2	7	-1.44076	0.02825	2	3	-1.69543	0.03502
YPR132W	2	3	-0.42915	0.00577	3	4	-0.8243	0.00393	1	1	-1.19903	0	4	5	-1.46536	0.02714	4	5	-1.61018	0.03102
YHR193C	1	2	-0.41154	0	2	4	-0.82112	0.06021	1	1	-1.06235	0	1	3	-1.67942	0	1	1	-1.44534	0
YGL195W	2	2	-0.7279	0.44202	0	0	0	0	0	0	0	0	1	1	-4.88074	0	0	0	0	0
YLR259C	7	11	-0.2351	0.1153	9	17	-0.58154	0.11022	9	16	-1.08607	0.10519	15	24	-1.48267	0.23758	10	15	-1.58707	0.21298
YGR218W	3	5	-0.33091	0.01745	4	6	-0.58827	0.03902	2	4	-1.0287	0.05245	3	4	-1.47536	0.21189	1	1	-1.42558	0
YPR191W	0	0	0	0	0	0	0	0	2	4	-2.82346	2.03388	0	0	0	0	1	4	-6.90308	0
YHL011C	1	1	-0.39084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR335C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.02835	0	0	0	0	0
YGR157W	2	2	-0.39455	0.08681	1	1	-0.61172	0	0	0	0	0	0	0	0	0	0	0	0	0
YOL058W	3	3	-0.19786	0.0486	1	3	-0.64516	0	0	0	0	0	3	4	-1.39647	0.07201	0	0	0	0
YBR189W	1	2	-0.43825	0	2	3	-0.76846	0.04597	1	2	-1.21348	0	2	4	-1.46821	0.00361	1	3	-1.64905	0
YIL069C	6	7	-0.42393	0.03553	6	9	-0.80824	0.02247	6	8	-1.17196	0.01892	7	11	-1.4653	0.03927	6	11	-1.77071	0.27718
YMR300C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.90555	0
YMR116C	4	9	-0.40583	0.02025	6	14	-0.79886	0.02665	4	10	-1.19934	0.03419	5	9	-1.38966	0.27209	3	8	-1.50392	0.39316
YLR075W	9	16	-0.38498	0.02171	7	20	-0.8018	0.02681	7	14	-1.23784	0.05673	6	15	-1.53771	0.05441	6	11	-1.71309	0.05148
YLR249W	10	16	-0.50076	0.02855	10	19	-0.83278	0.04413	8	15	-1.19603	0.03781	9	12	-1.56197	0.13641	7	11	-1.59387	0.07948
YML074C	1	1	-1.08063	0	0	0	0	0	0	0	0	0	2	2	-1.56406	0.08751	0	0	0	0
YLR344W	0	0	0	0	0	0	0	0	1	1	-0.78739	0	1	1	-1.00969	0	1	1	-1.14063	0
YER069W	0	0	0	0	1	2	-0.99335	0	2	2	-1.01	0.08709	0	0	0	0	0	0	0	0
YDL022W	0	0	0	0	1	4	-0.4605	0	0	0	0	0	0	0	0	0	0	0	0	0
YDR159W	4	4	-0.55946	0.14357	7	9	-0.82328	0.11453	4	4	-1.19944	0.07523	4	6	-1.50304	0.05588	6	7	-1.78623	0.22602
YBR011C	3	3	-0.35624	0.04009	1	1	-0.55015	0	1	1	-0.99634	0	4	6	-1.5107	0.04975	2	2	-1.46504	0.05125
YDR225W	0	0	0	0	1	2	-0.80793	0	0	0	0	0	1	1	-1.34378	0	2	2	-1.1383	0.46636
YBR127C	1	1	-0.31706	0	1	2	-0.87454	0	1	1	-1.19853	0	3	4	-1.60242	0.12696	1	1	-1.60421	0
YLR359W	0	0	0	0	0	0	0	0	0	0	0	0	3	3	-1.39961	0.04783	0	0	0	0
YDR335W	1	1	-0.30448	0	3	3	-0.7401	0.25738	0	0	0	0	1	1	-1.54133	0	0	0	0	0
YLR355C	5	6	-0.43282	0.04244	8	14	-0.83735	0.05181	4	6	-1.17841	0.12092	7	7	-1.60523	0.10584	7	9	-1.81024	0.28002
YER117W	1	2	-0.38993	0	2	3	-0.8244	0.03479	3	5	-1.17877	0.02508	2	3	-1.46514	0.01585	3	4	-1.62077	0.0143
YDL143W	2	2	-0.4305	0.06935	1	1	-0.80261	0	0	0	0	0	0	0	0	0	0	0	0	0
YBL039C	2	2	-0.49043	0.08038	1	1	-0.94575	0	0	0	0	0	0	0	0	0	1	1	-1.20926	0
YDR025W	6	10	-0.3842	0.02149	5	13	-0.77116	0.02496	4	9	-1.2143	0.06359	6	8	-1.4749	0.0272	3	8	-1.61674	0.07464
YDR012W	1	2	-0.37266	0	1	4	-0.77244	0	1	4	-1.23317	0	2	3	-1.53928	0.02062	1	2	-1.78736	0
YPL210C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.56194	0
YBR079C	1	1	-0.44471	0	2	2	-0.82796	0.13308	0	0	0	0	4	4	-1.00622	0.37109	1	1	-0.47546	0
YEL054C	2	3	-0.55922	0.07705	3	4	-0.81955	0.02281	2	3	-1.20208	0.01731	2	3	-1.47486	0.00753	2	2	-1.59532	0.01279
YIL078W	0	0	0	0	2	3	-0.8712	0.04399	2	2	-1.58745	0.2387	1	1	-1.73148	0	0	0	0	0
YJR145C	6	8	-0.44979	0.05964	7	11	-0.88108	0.04311	5	10	-1.28664	0.09868	6	9	-1.53478	0.0202	8	12	-1.67148	0.07978
YPL106C	3	4	-0.39378	0.05515	9	14	-0.6904	0.03485	6	8	-1.11263	0.25028	8	9	-1.50055	0.14116	7	9	-1.52164	0.29145
YGL076C	8	10	-0.4511	0.03732	7	11	-0.83405	0.03664	7	9	-1.19772	0.07306	5	8	-1.38783	0.23521	9	10	-1.63844	0.0527
YLL040C	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.52097	0	0	0	0	0
YJL061W	15	24	-0.19139	0.03597	11	22	-0.25157	0.03049	13	20	-0.30421	0.03648	11	21	-0.36403	0.04646	13	25	-0.36045	0.03316
YER091C	7	8	-0.30108	0.05022	5	10	-0.64918	0.02977	5	5	-0.97376	0.09551	12	19	-1.47049	0.31491	8	8	-1.62538	0.12663
YBR031W	12	31	-0.39482	0.02484	10	34	-0.77921	0.0237	11	34	-1.14829	0.10782	13	34	-1.43772	0.12206	11	25	-1.629	0.15765
YBR275C	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-1.42702	0.01045	0	0	0	0
YGL031C	4	6	-0.40323	0.02783	5	11	-0.81092	0.016	3	7	-1.21563	0.0173	4	9	-1.49914	0.07031	3	8	-1.70407	0.06719
YKR001C	0	0	0	0	1	1	-0.40167	0	0	0	0	0	0	0	0	0	0	0	0	0
YJL039C	32	63	-0.23391	0.02839	33	58	-0.29453	0.05154	24	33	-0.3183	0.02856	24	42	-0.34521	0.05046	24	40	-0.3417	0.03032
YKL068W	13	18	-0.34151	0.04371	14	27	-0.5292	0.06764	13	19	-0.6541	0.07378	9	17	-0.73408	0.08398	11	15	-0.80669	0.14341
YCL037C	0	0	0	0	1	1	-0.88263	0	0	0	0	0	0	0	0	0	0	0	0	0
YGR103W	0	0	0	0	1	1	-0.78688	0	1	1	-1.12776	0	0	0	0	0	0	0	0	0
YBR191W	7	13	-0.39326	0.03258	6	13	-0.82432	0.05057	6	10	-1.20796	0.04849	6	13	-1.49584	0.04464	7	12	-1.68675	0.08385
YJL080C	0	0	0	0	0	0	0	0	1	1	-0.8642	0	1	1	-1.54052	0	0	0	0	0
YJL014W	1	1	-0.30698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL231W	5	5	-0.35909	0.04239	7	9	-0.66958	0.08616	4	5	-1.08332	0.09872	10	12	-1.42711	0.24995	8	9	-1.5456	0.3331
YOR133W	16	22	-0.41118	0.02818	21	38	-0.80346	0.06072	18	22	-1.17208	0.07394	16	28	-1.44952	0.14493	18	24	-1.58008	0.30462
YJL008C	0	0	0	0	0	0	0	0	1	1	-1.45953	0	1	1	-1.53339	0	0	0	0	0
YLR197W	3	3	-0.55117	0.0298	8	13	-0.86852	0.11915	6	9	-1.12086	0.09033	8	11	-1.38494	0.06137	6	7	-1.52784	0.0859
YMR047C	18	34	-0.32589	0.04304	15	35	-0.61356	0.04141	14	29	-0.9241	0.03488	15	39	-1.18038	0.05313	15	32	-1.38499	0.0678
YOR373W	1	1	-0.32858	0	1	1	-0.97795	0	1	1	-1.49907	0	0	0	0	0	0	0	0	0
YBR084C-A	7	13	-0.36915	0.07444	7	13	-0.78618	0.04239	8	15	-1.18198	0.07611	4	8	-1.49596	0.04918	9	16	-1.62044	0.07656
YDR050C	6	8	-0.29589	0.03869	7	14	-0.7038	0.06651	4	7	-1.15369	0.03806	6	12	-1.61251	0.03608	5	8	-1.74017	0.05772
YJR121W	3	4	-0.40073	0.07097	3	5	-0.72541	0.06884	3	3	-1.00799	0.07733	3	3	-1.58829	0.0711	3	3	-1.77686	0.01773
YDR261C-D	2	3	-0.34017	0.13707	2	2	-0.517	0.02521	3	4	-1.13916	0.53285	1	1	-1.52058	0	1	1	-1.33819	0
YPL131W	1	1	-0.42925	0	1	2	-0.8421	0	1	2	-1.27176	0	1	2	-1.45329	0	2	2	-1.79342	0.05312
YLR347C	16	47	-0.36251	0.04447	18	59	-0.71947	0.05592	12	28	-1.07302	0.08506	14	38	-1.49301	0.10396	15	30	-1.63527	0.18472
YGR202C	1	1	-0.24881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR102C	2	5	-0.84386	0.60482	3	6	-1.09451	0.81215	1	5	-1.20687	0	3	5	-1.37945	0.60838	2	6	-1.90496	0.49466
YLR293C	4	6	-0.40629	0.0219	3	5	-0.72297	0.01634	1	1	-1.05848	0	3	3	-1.47227	0.02767	2	2	-1.58298	0.07965
YER110C	15	24	-0.47269	0.02346	14	26	-0.77442	0.04261	11	20	-1.15904	0.0854	11	16	-1.4354	0.07988	9	10	-1.54108	0.11936
YML012W	1	1	-0.27073	0	2	2	-0.55798	0.07311	0	0	0	0	0	0	0	0	0	0	0	0
YJL109C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1.52315	0
YEL026W	1	1	-0.49051	0	1	2	-0.92582	0	0	0	0	0	1	1	-1.35388	0	1	1	-1.56993	0
YLR150W	1	1	-0.47641	0	2	4	-0.85836	0.02371	3	6	-1.3062	0.03304	2	5	-1.69679	0.00038	1	2	-2.04762	0
YJR105W	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-0.94308	0.25847	0	0	0	0
YBR017C	1	1	-0.32611	0	2	2	-0.72008	0.07366	2	2	-1.13534	0.04553	1	1	-1.62622	0	1	1	-1.70786	0
YMR205C	2	3	-0.22394	0.05094	2	6	-0.82456	0.02051	2	4	-1.25266	0.00892	2	5	-1.84992	0.01097	1	1	-1.98338	0
YKL056C	1	2	-0.37023	0	2	4	-0.70356	0.03557	2	3	-1.03051	0.02689	4	4	-1.10877	0.57195	4	4	-1.6177	0.13204
YOR293W	2	3	-0.39829	0.01011	1	2	-0.77854	0	2	3	-1.1869	0.04173	1	2	-1.43973	0	1	2	-1.64661	0
YKL104C	0	0	0	0	0	0	0	0	1	1	-1.30181	0	0	0	0	0	1	1	-1.70797	0
YNL287W	0	0	0	0	0	0	0	0	1	1	-1.00181	0	0	0	0	0	2	2	-0.89112	0.64181
YGL092W	56	116	-0.19536	0.11102	49	115	-0.22997	0.15363	43	93	-0.26639	0.18635	46	95	-0.34921	0.2663	44	103	-0.35736	0.26101
YNL031C	1	1	-0.47622	0	1	1	-0.83284	0	1	1	-1.28695	0	1	1	-1.55536	0	1	1	-1.93893	0
YGL189C	1	3	-0.41065	0	1	5	-0.7914	0	1	2	-1.15584	0	1	3	-1.43258	0	1	3	-1.56564	0
YOR369C	3	4	-0.3991	0.04655	3	5	-0.82133	0.10036	3	4	-1.17053	0.05463	2	2	-1.50184	0.05153	3	3	-1.60431	0.05371
YGR282C	1	1	-0.52758	0	2	3	-0.74854	0.02066	0	0	0	0	2	2	-1.59366	0.14601	1	1	-1.25867	0
YMR120C	1	1	-0.16928	0	1	1	-0.31243	0	0	0	0	0	5	6	-1.4877	0.24259	3	3	-1.70619	0.51373
YDL207W	8	8	-0.35423	0.0347	10	13	-0.61836	0.08162	5	7	-0.98736	0.05243	4	5	-1.23596	0.04092	7	9	-1.37077	0.15024
YDL084W	0	0	0	0	1	2	-0.84428	0	2	2	-1.15123	0.06412	0	0	0	0	1	1	-1.34347	0
YDL131W	0	0	0	0	1	1	-0.7156	0	1	1	-0.969	0	1	1	-1.45182	0	0	0	0	0
YKR057W	2	2	-0.37347	0.0172	1	2	-0.72069	0	3	4	-1.1246	0.12958	2	2	-1.29784	0.07298	3	4	-1.48737	0.19237
YBL092W	1	3	-0.41314	0	5	9	-0.81732	0.34925	3	6	-0.92514	0.3104	3	5	-1.47963	0.08706	4	7	-1.32088	0.45364
YIL142W	1	1	-0.37329	0	1	2	-0.81185	0	2	2	-1.1463	0.04045	0	0	0	0	1	1	-1.59541	0
YOR332W	0	0	0	0	1	1	-0.85776	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR375C	6	7	-0.32352	0.03959	4	6	-0.62456	0.10956	2	3	-1.21465	0.10607	6	8	-1.45755	0.14355	5	6	-2.28711	1.43268
YOL086C	8	14	-0.26392	0.01271	10	22	-0.65951	0.02153	9	17	-0.99738	0.06003	10	22	-1.36886	0.05407	10	18	-1.45779	0.06483
YJR009C	2	4	-0.31391	0.01389	4	7	-0.66236	0.07959	1	2	-1.16384	0	3	7	-1.67334	0.12923	3	6	-1.72273	0.23994
YJR109C	0	0	0	0	0	0	0	0	0	0	0	0	2	2	-1.13678	0.34584	0	0	0	0
YOR020C	1	1	-0.11393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
